,Guwhathi,Srinagar,Chandigarh,Delhi,Rudrapur,NaviMumbai,Vijaywada,Varanasi,Kharagpur,Indore,Belgaum,Bangalore,Rajkot,Ahmedabad,Ludhiana,Rourkela,Hyderabad,Nagpur,Coimbatore,Kolkata
Kolkata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Haldia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
Paradeep,0,0,0,0,38,0,0,33,22,2,0,0,0,0,0,40,0,65,0,39
Vizag,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,103,0,0,0
Chennai,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,13,0,0,0
Chidambaram,0,32,0,244,0,20,0,0,0,1,0,0,0,0,34,0,0,0,0,0
Kochi,26,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,43,0
Mangalore,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,68,0,0,0
Mormugaon,0,0,0,0,0,20,0,0,0,0,43,0,0,0,0,0,0,0,0,0
JNPT,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeenDayal,0,0,29,0,0,0,0,0,0,51,0,0,38,149,0,0,0,0,0,0
